Funkcja,Architektura,Pojemność,LR,T,MSE,Odchylenie Std,Liczba parametrów,Stabilność (CV %)
Sine,UNet,C128,0.0005,80,0.03845399618148804,0.0016636816661186762,4153409,4.326420739906303
Sine,UNet,C256,0.0001,80,0.03917966658870379,0.0009067259602700014,16363585,2.3142768665913733
Sine,UNet,C256,0.0005,80,0.03928197671969732,0.0015741164236544938,16363585,4.007223045028634
Sine,UNet,C64,0.001,80,0.03957324723402659,0.0016728562038539037,1071169,4.227240170514786
Sine,UNet,C256,0.001,80,0.03960202013452848,0.0005282134949882004,16363585,1.3338044200620414
Sine,UNet,C256,0.0001,100,0.04020828753709793,0.00010183883371027475,16363585,0.25327821687584623
Sine,UNet,C256,0.0005,100,0.04024749000867208,0.00032341774047407523,16363585,0.8035724473858837
Sine,UNet,C64,0.0005,100,0.04029174024860064,0.000642928027017972,1071169,1.5956819513158194
Sine,UNet,C128,0.0005,100,0.04037797823548317,0.0009438139253458379,4153409,2.3374472090740728
Sine,UNet,C32,0.001,80,0.04037816449999809,0.0009720560100168941,285761,2.407380380098605
Sine,UNet,C64,0.0005,80,0.040489534536997475,0.000620566639139246,1071169,1.5326593556470764
Sine,UNet,C64,0.001,100,0.04066100095709165,0.0008706505450512741,1071169,2.141242282672888
Sine,UNet,C128,0.001,80,0.04112270722786585,0.003663893049338328,4153409,8.90965915506549
Sine,UNet,C128,0.001,100,0.04135549937685331,0.0007969191857096674,4153409,1.926996887276625
Sine,UNet,C128,0.0001,100,0.04144048566619555,0.0013549629516792759,4153409,3.269659922891701
Sine,UNet,C128,0.0001,80,0.04149831707278887,0.0016928973269793172,4153409,4.0794360986011595
Sine,UNet,C32,0.001,100,0.04263095806042353,0.0017706715911920553,285761,4.153487680671805
Sine,UNet,C256,0.001,100,0.04288956771294276,0.0005616218835135502,16363585,1.3094603500610007
Sine,UNet,C32,0.0005,100,0.043356217443943024,0.0005320152774208533,285761,1.227079548876045
Sine,UNet,C32,0.0005,80,0.04416307806968689,0.0015959245135578827,285761,3.6137076112303634
Sine,Conv1D,C128,0.0005,80,0.045272948841253914,0.0013486714848859349,698817,2.978978660336323
Sine,Conv1D,C128,0.001,80,0.0455395778020223,0.001496820902236076,698817,3.2868572228388246
Sine,Conv1D,C64,0.001,80,0.04635301480690638,0.0009392236251408742,204033,2.026240642714213
Sine,Conv1D,C64,0.001,100,0.04692992443839709,0.0007771190865480756,204033,1.655913781766614
