Architektura,T,Schedule,Ratio,Mean_MSE,Median_MSE,Mean_L2,Mean_Wasserstein,Mean_Pearson,Mean_Time
UNet_C128_5e-4,120,linear,0.39999999999999997,0.00010035812454589178,0.00010035812454589178,5.805635,0.004436538059380837,1.0,0.006193612416585286
UNet_C64_1e-4,100,linear,0.5833333333333333,0.00010072632050044679,0.00010072632050044679,5.8101482,0.0045181927804515,1.0,0.011162729263305665
UNet_C128_5e-4,100,linear,0.6999999999999998,0.00010164564480267776,0.00010164564480267776,5.860504,0.00435649923364205,1.0,0.009411975542704263
Conv1D_C128_1e-3,120,linear,0.45,0.0001061441045991766,0.0001061441045991766,5.991806,0.0045330439694710855,1.0,0.008913528124491372
Conv1D_C128_1e-3,80,linear,0.4666666666666666,0.00010627688655707363,0.00010627688655707363,5.9720592,0.004570208379251805,1.0,0.00451304276784261
UNet_C256_5e-4,100,linear,0.6333333333333333,0.00010666707591250694,0.00010666707591250694,6.000274,0.004515880700152289,1.0,0.020939122835795087
Conv1D_C128_5e-4,120,linear,0.25,0.00010691861190328685,0.00010691861190328685,6.014277,0.004533099642915961,1.0,0.006185587247212729
UNet_C256_5e-4,120,linear,0.5833333333333334,0.00010739765605345989,0.00010739765605345989,6.0188746,0.004426885365974158,1.0,0.02970858732859294
UNet_C64_1e-4,120,linear,0.5833333333333333,0.00010741927872004453,0.00010741927872004453,3.4365573,0.005485296236438444,1.0,0.00930569330851237
UNet_C128_5e-4,80,linear,0.6999999999999998,0.00011248599066069194,0.00011248599066069194,3.5474722,0.005443095655245997,1.0,0.0035692755381266277
UNet_C256_5e-4,80,linear,0.6999999999999998,0.00011553201974796442,0.00011553201974796442,3.5072744,0.005701758250021763,1.0,0.012431739966074627
UNet_C64_1e-4,80,linear,0.3499999999999999,0.00011674006789689883,0.00011674006789689883,6.2427583,0.00484830709581729,1.0,0.003515218098958334
UNet_C64_1e-4,80,linear,0.6999999999999998,0.00011697779370782276,0.00011697779370782276,1.1912216,0.006297183974481109,1.0,0.002183367411295573
Conv1D_C128_5e-4,100,linear,0.39999999999999997,0.0001183091467343426,0.0001183091467343426,6.2897067,0.00507658637407682,1.0,0.008374959627787273
Conv1D_C128_5e-4,80,linear,0.6999999999999998,0.00012027945956409288,0.00012027945956409288,1.2158793,0.006504181007579366,1.0,0.0024489895502726234
Conv1D_C128_5e-4,80,linear,0.3499999999999999,0.00012127167873889751,0.00012127167873889751,3.7386796,0.006840623651611774,1.0,0.00504468282063802
Conv1D_C32_5e-4,100,linear,0.5166666666666666,0.0001247623267408926,0.0001247623267408926,1.2390695,0.006509389666850135,1.0,0.00695010979970296
Conv1D_C32_5e-4,80,linear,0.6999999999999998,0.00012777585759370897,0.00012777585759370897,1.2486764,0.006549157634023382,1.0,0.008996254603068033
