Funkcja,Architektura,T,Schedule,Ratio,Skip steps,L2_Error,Czas
1_OVER_X,UNet_C64_1e-4,120,linear,0.7,2.0,5.611062,0.009553513526916505
ABS,Conv1D_C128_1e-3,80,linear,0.2,1.0,3.547097,0.0025500122706095378
CHIRP,UNet_C64_1e-4,80,linear,0.2,1.0,2.9482813,0.0021691131591796875
DAMPED_OSCILLATOR,Conv1D_C128_5e-4,100,linear,0.2,1.0,5.13356,0.005133344332377116
EXP,UNet_C64_1e-4,80,linear,0.7,5.0,1.1665866,0.002183367411295573
LOG10,UNet_C64_1e-4,80,linear,0.2,5.0,2.7183847,0.001495701471964518
MIXED_FREQ,Conv1D_C128_1e-3,80,linear,0.2,1.0,3.2389276,0.0037298043568929034
SINC,Conv1D_C128_1e-3,80,linear,0.2,5.0,2.5063248,0.001496801376342773
SQUARE_WAVE,Conv1D_C128_1e-3,100,linear,0.35,1.0,1.0588498,0.0053657563527425125
STEP,Conv1D_C128_5e-4,80,linear,0.35,1.0,1.0339355,0.00468207041422526
